name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
The Soulful Cellar,Croydon,,200000000000,E09000008,Fairfield,E05011468,90 High Street,Croydon,,532328.000122197,165206.00012159348,-0.09875170962792135,51.3699765984302,11/27/2022
Ship,Croydon,www.shippub.co.uk,200000000000,E09000008,Fairfield,E05011468,47 High Street,Croydon,,532342.000122197,165377.00012159348,-0.09848699749884317,51.37151024035408,11/27/2022
Matthews Yard,Croydon,,10090382144,E09000008,Fairfield,E05011468,1 Matthews Yard,Croydon,,532270.000122197,165389.00012159348,-0.09951642784713824,51.371634872536426,11/27/2022
Tiger Tiger,Croydon,,10014052022,E09000008,Fairfield,E05011468,16 High Street,Croydon,,532289.000122197,165482.00012159348,-0.09920896958873064,51.37246630638366,11/27/2022
Project B,Croydon,,10090380116,E09000008,Fairfield,E05011468,1 Bell Hill,Croydon,,532262.000122197,165531.00012159348,-0.09957844966639204,51.372912997151616,11/27/2022
Boxpark Croydon,Croydon,,10093049119,E09000008,Fairfield,E05011468,Boxpark Croydon 99,George Street,Croydon,532777.000122197,165706.00012159348,-0.09211761373814116,51.374365629802334,11/27/2022
The Red Lion,Sutton,,5870110898,E09000029,Wandle Valley,E05000571,Hackbridge Road Sutton,,,528319.000122197,165977.00012159348,-0.15604080022404015,51.377826618247745,11/27/2022
Oval Tavern,Croydon,www.theovaltavern.co.uk,100000000000,E09000008,Addiscombe West,E05011463,131 Oval Road,Croydon,,533190.000122197,166099.00012159348,-0.08603939479436525,51.37780103705135,11/27/2022
Builders Arms,Croydon,www.buildersarmscroydon.co.uk,100000000000,E09000008,Addiscombe West,E05011463,65 Leslie Park Road,Croydon,,533310.000122197,166234.00012159348,-0.08426534518235256,51.37898620052631,11/27/2022
The Duke,Kingston Upon Thames,www.thedukeofyork.com,128019405,E09000021,St. Mark's,E05000412,Kingston Upon Thames ,,,517909.0001221001,167240.00012169778,-0.30514091732304355,51.39143748265301,11/27/2022
Lamb Inn,Kingston Upon Thames,www.lambsurbiton.co.uk,128002149,E09000021,St. Mark's,E05000412,73 Brighton Road,Kingston Upon Thames,,517583.0001221001,167242.00012169778,-0.3098240822737775,51.39152312183114,11/27/2022
Black Lion,Kingston Upon Thames,www.theblacklionsurbiton.co.uk,100000000000,E09000021,St. Mark's,E05000412,58 Brighton Road,Kingston Upon Thames,,517648.0001221001,167246.00012169778,-0.30888886256577963,51.39154560094808,11/27/2022
Woodies,Kingston Upon Thames,www.woodiesfreehouse.co.uk,128018554,E09000021,St. James,E05000411,Thetford Road Kingston Upon Thames,,,520645.000122197,167331.00012169778,-0.26580104091344275,51.39168020561406,11/27/2022
The Brave New World,Kingston Upon Thames,www.bravebar.co.uk,128001583,E09000021,Berrylands,E05000401,22-26 Berrylands Road,Kingston Upon Thames,,518670.0001221001,167377.00012169778,-0.29416146110876756,51.39251025771019,11/27/2022
Kings Arms,Merton,www.rampubcompany.co.uk/visit-pubs/kings-arms-mitcham,48126918,E09000024,Figge's Marsh,E05000460,260-262 London Road,Merton,,527781.000122197,169073.00012159348,-0.16265301821352957,51.40577498787902,11/27/2022
Partridge,Bromley,www.partridgebromley.co.uk,100000000000,E09000006,Bromley Town,E05000109,194 High Street,,,540167.000122197,169319.00012149662,0.015427785400351973,51.405059542,11/27/2022
The Fighting Cocks,Kingston Upon Thames,www.the-fighting-cocks.co.uk,100000000000,E09000021,Grove,E05000408,56 Old London Road,Kingston Upon Thames,,518455.0001221001,169335.00012169778,-0.2965966949404561,51.41015503216918,11/27/2022
The White Horse,Bromley,www.mitchellsandbutlers.com,10070003978,E09000006,Copers Cope,E05000113,205-213 High Street,,,537048.000122197,169338.00012149662,-0.02938340174123018,51.40599269242192,11/27/2022
Cavern,Merton,www.thecavernfreehouse.co.uk,48126372,E09000024,Raynes Park,E05000469,100-102 Coombe Lane,Merton,,522927.000122197,169345.00012159348,-0.23231738751681566,51.40929292150706,11/27/2022
Oak,Bromley,www.theoakbromley.com,100000000000,E09000006,Bickley,E05000106,206 Widmore Road,,,541587.000122197,169373.00012149662,0.035853403484582456,51.40519206705872,11/27/2022
Jolly Woodman,Bromley,www.thejollywoodman.co.uk,100000000000,E09000006,Copers Cope,E05000113,9 Chancery Lane,,,537948.000122197,169380.00012149662,-0.01643424811370363,51.40615192315936,11/27/2022
The Chancery,Bromley,www.thechancerybeckenham.co.uk,100000000000,E09000006,Copers Cope,E05000113,90 Bromley Road,,,537984.000122197,169403.00012149662,-0.015907985657444956,51.40634987086242,11/27/2022
Vuvu Club,Bromley,,10070003296,E09000006,Bromley Town,E05000109,30 East Street,,,540340.000122197,169496.00012149662,0.017983695890009744,51.40660746470412,11/27/2022
Swan,Richmond Upon Thames,www.swanhamptonwick.co.uk,100000000000,E09000027,Hampton Wick,E05000522,22 High Street,Richmond Upon Thames,,517572.0001221001,169528.00012169778,-0.3092244186024402,51.41207366260431,11/27/2022
Railway Tavern,Bromley,www.railwaytavernbromley.com,100000000000,E09000006,Bromley Town,E05000109,45 East Street,,,540337.000122197,169562.00012149662,0.017966705155495064,51.407201353656404,11/27/2022
Grey Horse,Kingston Upon Thames,www.grey-horse.co.uk,100000000000,E09000021,Canbury,E05000403,46 Richmond Road,Kingston Upon Thames,,518289.0001221001,169738.00012169778,-0.2988482023759044,51.413812127944894,11/27/2022
Bridge Bar,Bromley,,100000000000,E09000006,Copers Cope,E05000113,42827 High Street,,,537440.000122197,169823.00012149662,-0.02356244010526545,51.41025665210085,11/27/2022
Adelaide,Richmond Upon Thames,www.adelaideteddington.co.uk,100000000000,E09000027,Teddington,E05000530,57 Park Road,Richmond Upon Thames,,515888.0001221001,170725.00012169778,-0.33303911087124055,51.42318004284387,11/27/2022
Freelands Tavern,Bromley,www.thefreelandstavern.com,100000000000,E09000006,Plaistow And Sundridge,E05000125,31 Freelands Road,,,540891.000122197,169860.00012149662,0.026045974836550648,51.409742101188364,11/27/2022
Trafalgar,Merton,www.trafalgarfreehouse.co.uk,48126710,E09000024,Abbey,E05000455,23 High Path,Merton,,526028.000122197,169874.00012159348,-0.18756082784995504,51.41336682258616,11/27/2022
British Oak,Kingston Upon Thames,www.theoakpubkingston.co.uk,100000000000,E09000021,Canbury,E05000403,98 Richmond Road,Kingston Upon Thames,,518238.0001221001,169957.00012169778,-0.29950824792641545,51.41579128758804,11/27/2022
Goldsmiths Arms,Bromley,www.goldsmithsarms.com,100000000000,E09000006,Penge And Cator,E05000123,3 Croydon Road,,,535565.000122197,170054.00012159348,-0.05042040865164809,51.41278418640286,11/27/2022
Nelson Arms,Merton,www.nelsonarms.co.uk,48083684,E09000024,Abbey,E05000455,15 Merton High Street,Merton,,526207.000122197,170095.00012159348,-0.18490928560722308,51.415313374252925,11/27/2022
Ripley Arts Center,Bromley,http://www.bromleyarts.com/ripley-arts-centre/,0,E09000006,Plaistow And Sundridge,E05000125,24 Sundridge Avenue Bromley,,,540734.0364991948,170160.6052850932,0.023909638938108532,51.412482631830436,11/27/2022
Queens Head,Kingston Upon Thames,www.queensheadkingston.co.uk,100000000000,E09000021,Tudor,E05000415,144 Richmond Road,Kingston Upon Thames,,518212.0001221001,170214.00012169778,-0.29979627904807676,51.41810679923716,11/27/2022
The White Hart,Croydon,www.thewhitehartse19.co.uk,100000000000,E09000008,Crystal Palace & Upper Norwood,E05011467,96 Church Road,Croydon,,533511.000122197,170436.00012159348,-0.0797974293437279,51.41670490695405,11/27/2022
New Wimbledon Theatre,Merton,www.newwimbledontheatre.net/,48008413,E09000024,Abbey,E05000455,Wimbledon Theatre 93,The Broadway,Merton,525163.000122197,170438.00012159348,-0.1997948110881534,51.41862781082641,11/27/2022
The Pod,Merton,,48112845,E09000024,Abbey,E05000455,105-109 The Broadway,Merton,,525180.000122197,170450.00012159348,-0.19954619285163525,51.41873191463186,11/27/2022
Railway,Lambeth,www.therailwaysw16.co.uk,100000000000,E09000022,Streatham South,E05000431,2 Greyhound Lane,Lambeth,,529807.000122197,170459.00012159348,-0.1330304215934277,51.41777199630485,11/27/2022
Sydney Arms,Bromley,www.sydneyarms.com,100000000000,E09000006,Chislehurst,E05000111,Old Perry Street ,,,545226.0001222938,170498.00012139976,0.08860180992777622,51.41438180725004,11/27/2022
Numidie Bar And Bistro,Croydon,,100000000000,E09000008,Crystal Palace & Upper Norwood,E05011467,48 Westow Hill,Croydon,,533532.000122197,170702.00012159348,-0.07939535712186051,51.419090655515134,11/27/2022
Grape & Grain,Bromley,www.thegrapeandgrainse19.co.uk,100000000000,E09000006,Crystal Palace,E05000116,2 Anerley Hill,,,533749.000122197,170716.00012159348,-0.07627082866857796,51.41916531445639,11/27/2022
Builders Arms,Richmond Upon Thames,,100000000000,E09000027,Teddington,E05000530,38 Field Lane,Richmond Upon Thames,,516169.0001221001,170984.00012169778,-0.32891405180516275,51.42545060466458,11/27/2022
